,Hotel,Ubicacion,Direccion,Estrellas,Longitud,Latitud
1,Hotel Hilton Garden Inn Cusco,"Cusco a 0,38 km del centro","Av. Abancay 207, Santa Ana, Cusco 00000, Cusco (Peru)",4,-71.98454,-13.51504
2,Hotel Casa Cartagena,"Cusco a 0,23 km del centro","Calle Pumacurco 336, Cusco Centro His, Cusco (Peru)",5,-71.93993,-13.53219
3,Hostal Principe III,"Cusco a 0,85 km del centro","Av. Huascar 222, Cusco , Cusco (Peru)",-1,-71.97202,-13.5228
4,Hotel Casa Andina Standard Cusco Catedral,"Cusco a 0,09 km del centro","Calle Santa Catalina Angosta 149, Cusco Cusco, Cusco (Peru)",3,-71.97742,-13.51716
5,Hotel Royal Inka I,"Cusco a 0,11 km del centro","Plaza Regocijo 299, Cusco N/A, Cusco (Peru)",3,-71.9802,-13.51714
6,Hotel Eco Inn Cusco,"Cusco a 0,73 km del centro","Av. El Sol 1010, Cusco 00000, Cusco (Peru)",4,-71.97264,-13.52495
7,Hostal Illapa Hostel,"Cusco a 0,38 km del centro","C/ Awacpinta 775, Centro Historico, Cusco n/a, Cusco (Peru)",-1,-71.97414,-13.52208
8,Hostal Cedros,"Cusco a 1,01 km del centro","Av. Pachacutec 419, Cusco Cusc 01, Cusco (Peru)",-1,-71.9708,-13.52438
9,Sumac Tika Hostal,"Cusco a 2,42 km del centro","Urb. Marcavalle C-13, Cusco , Cusco (Peru)",-1,-71.94651,-13.53053
10,Hostal Hitchhikers Cusco Hostel,"Cusco a 0,22 km del centro","Calle Saphi 440, Cusco Cusc01, Cusco (Peru)",-1,-71.98114,-13.51502
11,Hotel La Casa De Mayte,"Cusco a 0,3 km del centro","C/ Recoleta Angosta 559, Cusco , Cusco (Peru)",2,-71.9741,-13.5168
12,Emperatriz Guest House,"Cusco a 0,52 km del centro","C/ Arcopunco Nº 126, Cusco Cusc01, Cusco (Peru)",-1,-71.97319,-13.51979
13,Hostal Garden Of San Blas,"Cusco a 0,4 km del centro","Pasñapacana, 130, Cusco , Cusco (Peru)",-1,-71.97437,-13.51446
14,La Posada Del Viajero,"Cusco a 0,15 km del centro","Santa Catalina Ancha 366, Cusco 084, Cusco (Peru)",-1,-71.97653,-13.51701
15,Hostal Mama Simona,"Cusco a 0,34 km del centro","Calle Ceniza 364, San Pedro, Cusco 260408, Cusco (Peru)",-1,-71.98402,-13.51789
16,Hotel Tierra Viva Cusco Centro,"Cusco a 0,47 km del centro","Callle Cruz Verde 390, Cusco Cusco01, Cusco (Peru)",3,-71.98059,-13.52071
17,Posada Andean South Inn,"Cusco a 0,37 km del centro","Tandapata, 635 - San Blas, Cusco 051, Cusco (Peru)",-1,-71.97584,-13.51279
18,InkaÂŽs Tambo Hotel,"Cusco a 2,32 km del centro","Urb. Quispicanchi C-4, Av. Brasil, Cusco 08000, Cusco (Peru)",-1,-71.96281,-13.53022
19,Aranwa Cusco Boutique Hotel,"Cusco a 0,15 km del centro","San Juan de Dios 255, Cusco 00045, Cusco (Peru)",5,-71.98124,-13.51697
20,Hotel Apart R House Cusco,"Cusco a 0,78 km del centro","Tupac Yupanqui 280, Urbanización Tahuantinsuyo, Cusco 08000, Cusco (Peru)",3,-71.96826,-13.5159
